avg_reward,gamma,epsilon_decay,iters
135.0,0.5,0.5,10000
122.08,0.7,0.3,10000
120.17,0.9,0.3,10000
116.77,0.9,0.9,10000
112.45,0.5,0.9,10000
111.92,0.7,0.5,10000
111.91,0.7,0.7,10000
108.96,0.5,0.3,10000
108.76,0.9,0.7,10000
101.86,0.7,0.9,10000
91.11,0.3,0.5,10000
82.72,0.3,0.9,10000
79.47,0.5,0.7,10000
75.24,0.3,0.3,10000
73.57,0.9,0.5,10000
56.25,0.3,0.7,10000
