avg_reward,gamma,epsilon_decay,iters
141.42,0.9,0.3,10000
132.52,0.9,0.9,10000
118.06,0.9,0.5,10000
113.77,0.7,0.9,10000
105.88,0.9,0.7,10000
104.52,0.7,0.3,10000
95.81,0.5,0.3,10000
94.36,0.7,0.5,10000
91.74,0.5,0.7,10000
88.19,0.7,0.7,10000
79.48,0.5,0.5,10000
75.61,0.5,0.9,10000
66.48,0.3,0.5,10000
63.02,0.3,0.7,10000
62.26,0.3,0.3,10000
18.22,0.3,0.9,10000
